'fess,1
'low,1
'scuse,1
abandon,15
abide,8
abolish,8
abound,2
absent,2
absorb,14
abstain,1
abstract,3
abuse,3
accede,1
accelerate,5
accentuate,2
accept,78
acclaim,1
accommodate,16
accompanie,1
accompany,8
accomplish,23
accomplishe,1
accord,3
account,36
accrue,1
accumulate,5
accuse,12
ache,2
achieve,56
acknowledge,14
acquaint,3
acquiesce,3
acquire,29
act,85
activate,2
actuate,1
adapt,5
add,98
address,8
addresse,4
adduce,1
adhere,5
adjoin,2
adjourn,1
adjudicate,1
adjust,18
administer,4
admire,11
admit,39
adopt,15
adore,3
adorn,2
adsorb,1
advance,16
adventure,1
advertise,4
advise,10
advocate,4
aerate,2
affect,52
affirm,13
affix,1
afford,45
age,2
agglomerate,2
aggravate,2
agitate,1
agonize,2
agree,62
aid,28
aim,13
alarm,2
alert,6
alienate,3
alight,1
align,2
allay,1
allege,1
alleviate,5
allocate,2
allot,1
allow,91
allude,1
alter,16
alternate,1
amass,2
amaze,3
ambush,2
amend,2
amortize,2
amount,50
amplify,1
amuse,3
analyze,12
angle,1
annex,1
annihilate,1
announce,21
annoy,3
ansuh,1
answer,51
antagonize,1
anticipate,13
apologize,1
appeal,11
appear,201
appease,2
applaud,5
applie,19
apply,56
appoint,7
apportion,1
appraise,4
appreciate,27
apprehend,1
approach,15
approache,8
appropriate,2
approve,15
approximate,2
arbitrate,3
arch,1
arche,2
argue,39
arise,42
arm,1
arouse,7
arrange,11
arrest,6
arrive,31
arrogate,1
articulate,2
ascend,1
ascertain,7
ascribe,2
ask,140
aspire,4
assail,3
assault,1
assemble,8
assert,24
assess,6
assign,22
assimilate,2
assist,21
associate,11
assume,71
assure,43
astound,1
atone,1
attach,14
attache,2
attack,27
attain,21
attempt,31
attend,58
attest,2
attract,22
attribute,3
audition,1
augment,2
augur,1
authenticate,1
authorize,7
automate,1
autopsy,1
avail,3
avenge,2
average,5
avert,1
avoid,61
await,12
awake,1
awaken,8
award,3
back,26
backstitch,2
baffle,1
bag,1
bake,4
balance,8
balk,1
ban,2
bang,3
banish,4
banishe,1
bank,1
bankrupt,2
bar,5
barbecue,1
bare,1
bargain,1
barge,2
bargen,1
bark,1
barrel,1
barricade,1
base,7
bat,6
bathe,4
battle,3
bear,60
beat,28
beautify,1
beckon,4
become,339
becomet,1
befall,2
befit,1
befuddle,1
beg,12
beget,1
begin,139
begrudge,2
beguile,1
behave,15
behold,5
behoove,1
believe,243
believet,2
bellow,1
belong,59
belt,1
bemoan,2
bench,1
bend,13
benefit,21
beseech,1
beset,1
besiege,1
besmirch,1
bespeak,2
best,1
bestow,2
bet,13
betide,2
betray,7
better,6
bevel,2
bewail,1
beware,3
bewilder,1
bid,7
bide,1
bind,4
birdie,1
bite,9
black,1
blame,23
blanket,2
blast,3
blaze,3
blazon,1
bleed,2
blend,4
bless,9
blind,1
blink,4
blister,1
block,5
bloom,3
blossom,3
blot,2
blow,13
bludgeon,1
blueprint,1
blunt,3
blur,1
blush,1
board,5
boast,9
bode,1
bodie,1
bog,1
boil,8
bolster,2
bolt,2
bomb,3
boo,1
boobify,1
boomerang,1
boost,5
boot,3
border,2
bore,8
borrow,10
bother,25
bottle,1
bounce,4
bound,2
bow,4
box,2
boycott,1
brace,1
brag,1
branch,2
brave,2
break,74
breathe,9
breed,3
bribe,1
bridge,5
brighten,1
bring,197
bristle,2
broach,1
broaden,10
broil,1
bruise,1
brush,13
brynge,1
bubble,1
buckle,3
bud,2
budge,3
budget,2
buffet,1
bug,1
build,89
bulk,1
bulldoze,1
bulletin,1
bullie,1
bullshit,1
bully,1
bum,1
bump,4
bundle,1
bunt,1
burden,1
burie,1
burn,12
burne,1
burrow,1
burst,9
bury,5
bust,1
busy,1
butt,3
buy,79
buzz,1
by-passe,1
bye,1
bypass,2
cable,2
calculate,4
call,178
calm,6
camouflage,1
camp,1
campaign,5
can,2
cancel,8
canoe,1
canvass,1
cap,4
capitalize,4
capture,14
care,82
caress,1
caricature,1
carrie,22
carry,88
cart,1
carve,3
cascade,2
case,2
cash,2
cast,9
castigate,1
catapult,1
catch,39
catche,1
catchee,1
catechize,1
categorize,1
cater,3
cause,79
cauterize,1
caution,2
cavort,1
cease,18
celebrate,6
cement,1
censor,1
center,16
center-punch,2
certifie,1
certify,5
cf.,8
chafe,1
chalk,1
challenge,17
champion,2
chance,1
chandelle,1
change,86
channel,1
chant,1
char,1
characterize,10
charge,16
charm,2
chart,1
chase,4
chat,2
chatter,1
cheat,1
check,52
cheer,2
cheere,1
cherish,5
chew,2
chicken,1
chide,2
chin,2
chin-up,1
choke,9
choose,58
chop,1
christsake,1
chuck,3
chuckle,2
churn,1
cipher,1
circle,2
circulate,2
cite,16
claim,46
clamor,2
clap,1
clarifie,1
clarify,13
class,1
classify,6
clatter,1
clean,19
clear,15
clench,1
clenche,1
clerk,1
click,1
climax,1
climb,11
clinch,2
cling,9
clobber,2
clog,2
close,45
clot,1
clothe,1
cloud,1
cluck,1
cluster,5
clutch,1
clutche,1
co-operate,5
co-ordinate,2
coalesce,2
coat,1
coax,1
code,1
codetermine,1
coerce,2
coexist,1
cohere,1
coin,1
coincide,17
collaborate,2
collapse,2
collar,3
collect,21
color,8
com,1
combat,4
combine,22
come,566
comend,1
comest,1
comet,1
comfort,2
command,13
commemorate,3
commence,3
commend,8
comment,8
commiserate,1
commit,17
commune,1
communicate,13
communize,1
commute,12
compare,34
compass,1
compel,6
compensate,4
compete,24
compile,1
complain,14
complement,2
complete,24
complicate,2
comply,5
comport,1
compose,8
compound,3
comprehend,5
compress,2
compresse,1
comprise,14
compromise,3
compute,9
conceal,9
concede,9
conceive,16
concentrate,12
concern,26
conciliate,1
conclude,20
concur,7
condemn,7
condense,1
condition,1
conduct,23
confer,4
confess,11
confesse,3
confide,3
confine,2
confirm,19
conflict,4
conform,15
confront,13
confuse,6
congratulate,4
congregate,2
conjure,3
connect,5
connote,2
conquer,4
consent,1
conserve,4
consider,142
consign,2
consist,60
consolidate,2
conspire,2
constitute,40
construct,12
construe,1
consult,11
consume,3
contact,5
contain,83
contaminate,1
contemplate,8
contend,11
content,3
contest,2
continue,148
contract,10
contradict,6
contrast,7
contribute,54
contrive,1
control,33
converge,3
converse,3
convert,9
convey,17
convict,1
convince,4
cook,14
cool,9
cooperate,12
coordinate,8
cope,22
copy,2
core,2
corral,1
correct,12
correlate,3
correspond,13
corroborate,2
corrode,1
corrupt,2
cosponsor,1
cost,41
coste,1
cough,4
counsel,1
count,32
counter,2
counter-drill,1
counteract,4
counterattack,1
counterbalance,1
counterchallenge,1
court,3
cover,68
covet,1
crack,10
crackle,1
crane,1
crash,4
crave,2
crawl,9
creak,1
create,67
credit,4
creep,8
cremate,1
crie,1
criticize,4
crochet,1
crop,1
cross,25
crosse,3
crouch,2
crowd,2
crown,1
crumble,1
crush,1
cry,18
crystallize,1
culminate,7
cultivate,4
cumulate,1
cup,1
curb,1
cure,12
curl,2
curse,4
curtail,4
cushion,2
custom-make,1
cut,101
cycle,1
dabble,1
damage,7
damn,10
dampen,2
dance,19
dangle,1
dare,19
darn,2
dash,1
dashe,1
date,13
daunt,1
dawn,2
dazzle,2
de-iodinate,1
deal,55
debate,2
debut,1
decay,3
deceive,2
decelerate,1
decertify,1
decide,52
deck,1
declare,19
decline,11
decompose,3
decorate,2
decrease,17
decree,1
decry,2
dedicate,2
deduce,3
deduct,12
deed,2
deem,1
deepen,1
defeat,7
defend,23
defer,1
define,24
defraud,2
defray,2
defrost,1
defy,7
degrade,1
dehumanize,1
delay,9
delegate,4
delight,3
delimit,2
deliver,24
delivre,1
delude,2
demand,34
demean,1
democratize,3
demonstrate,34
demoralize,5
demythologize,2
denie,6
denote,11
denounce,6
deny,46
depart,8
depend,94
depict,3
deplore,4
deport,1
depose,1
deposit,1
depress,1
depresse,1
deprive,3
derive,22
derogate,1
descend,6
describe,63
desert,5
deserve,28
design,6
designate,4
desire,15
despair,1
despise,8
dessier,1
destroy,48
detach,1
detail,1
detain,1
detect,10
deter,1
deteriorate,2
determine,121
detest,1
detract,1
detribalize,1
devastate,1
develop,100
deviate,1
devise,8
devote,15
devour,2
diagnose,3
dice,1
dictate,7
die,66
differ,28
differentiate,2
diffuse,2
dig,10
dignify,1
digress,1
dilate,3
dimension,1
diminish,3
diminishe,3
dine,3
dip,2
direct,19
disable,1
disabuse,2
disaffiliate,1
disagree,9
disappear,14
disapprove,5
disarm,2
disassemble,1
disbelieve,2
discard,1
discern,4
discharge,3
discipline,2
disclose,10
discolor,1
disconcert,1
discontinue,2
discorporate,1
discount,4
discourage,9
discourse,1
discover,43
discriminate,1
discuss,28
discusse,4
disdain,2
disengage,1
disentangle,2
disguise,4
dishe,1
dishearten,2
disintegrate,2
dislike,10
dislodge,2
dismiss,5
dismisse,1
disown,1
dispatch,2
dispel,3
dispell,1
dispense,4
disperse,2
displace,4
display,18
dispose,5
disprove,3
dispute,4
disqualify,1
disregard,2
disrobe,1
disrupt,6
dissect,1
dissent,1
dissolve,5
dissuade,3
distil,1
distinguish,19
distinguishe,5
distort,4
distract,2
distribute,8
distrust,2
disturb,10
dive,3
divert,1
divest,1
divide,20
divorce,6
dock,2
document,2
dodge,4
dog,1
dole,1
dominate,15
donate,4
dot,2
double,6
double-glaze,1
doubt,16
dovetail,1
down,2
downgrade,1
draft,1
drag,10
drahve,1
drain,8
dramatize,5
draw,60
draw-file,2
dream,13
dress,14
drie,1
drift,4
drill,16
drink,28
drip,1
drive,51
droop,1
drop,42
drown,4
dry,15
drywall,1
duck,7
dull,1
dump,3
dunk,1
duplicate,2
dust,3
dwarf,3
dwell,9
dwindle,2
earn,17
ease,14
eat,60
ebb,2
echo,3
economize,3
edge,1
edit,2
educate,7
efface,1
effect,16
effecte,1
effectuate,2
effloresce,1
eject,1
elaborate,7
elapse,2
elect,8
elevate,1
elicit,4
eliminate,30
elude,1
emancipate,2
embark,5
embezzle,1
embodie,3
embody,1
embrace,11
emerge,27
emit,1
emphasize,23
employ,18
empower,1
emptie,3
emulate,3
enable,32
enact,7
encamp,1
enchant,1
encircle,1
enclose,1
encompass,4
encompasse,1
encounter,17
encourage,51
encroach,1
end,53
endanger,1
endeavor,1
endorse,6
endow,3
endure,10
energize,1
enforce,9
engage,15
engender,2
engulf,1
enhance,6
enjoin,1
enjoy,54
enlarge,7
enlighten,1
enlist,6
enrich,5
enroll,5
enslave,2
ensue,4
ensure,9
entail,13
enter,91
entertain,14
enthrone,1
entitle,9
entreat,1
entrust,2
enunciate,1
envisage,1
envision,5
envy,3
epitomize,2
equal,13
equalize,1
equate,7
equip,1
eradicate,2
erase,1
erect,6
err,1
erupt,3
escape,46
eschew,2
escort,4
espouse,1
establish,58
establishe,4
estimate,10
eulogize,1
evacuate,1
evade,2
evaluate,13
evaporate,1
even,28
eventuate,1
evidence,1
evoke,11
evolve,6
exacerbate,1
exact,2
exaggerate,8
exalt,1
examine,34
exasperate,1
exceed,28
excel,2
except,1
exchange,3
excite,3
exclaim,2
exclude,10
excoriate,1
excuse,7
execute,7
exemplifie,1
exemplify,2
exempt,1
exercise,27
exert,14
exhaust,3
exhibit,15
exist,101
exit,1
exonerate,2
exorcise,1
expand,15
expect,130
expel,2
expend,1
experience,23
experiment,7
expire,2
explain,82
explode,7
exploit,8
explore,13
export,2
expose,9
express,27
expresse,8
expunge,1
extemporize,1
extend,41
extenuate,1
exterminate,2
extinguish,1
extract,6
extrapolate,2
extricate,2
fabricate,1
face,63
facilitate,7
factor,1
fade,1
fail,50
fake,1
fall,85
falsify,2
falter,3
fan,6
fancie,1
fancy,3
farm,3
fascinate,4
fashion,4
fasten,5
father,1
fathom,3
fatten,1
favor,27
faze,1
fear,31
feather,1
feature,12
federalize,1
feed,52
feel,246
feint,1
fell,4
ferret,1
fetch,6
fete,1
fetishize,1
ffreind,1
field,3
figger,3
fight,46
figure,23
file,31
fill,54
film,1
filter,1
finance,18
find,455
fine,1
finger-paint,1
finish,24
finishe,1
fire,10
fishe,1
fit,48
fix,13
flag,3
flake,1
flame,4
flare,1
flash,6
flatten,1
flatter,1
flee,2
flex,1
flicker,1
flie,3
fling,2
flip,3
flirt,1
flng,1
float,4
flock,1
flog,1
flood,2
flop,1
flounder,2
flourish,4
flourishe,2
flow,17
flower,1
fluctuate,1
fluoresce,1
flurry,1
flush,1
fly,18
foam,1
focus,12
focuse,2
foil,2
fold,2
follow,172
followet,1
fool,5
forbid,9
force,30
forecast,2
forego,3
foresee,3
forestall,5
foretell,1
forfeit,2
forget,53
forgit,2
forgive,24
forgo,1
fork,1
form,56
formalize,2
formulate,9
forsake,2
forswear,1
fort,3
fortify,2
foster,6
foul,1
found,1
fracture,1
frame,4
fraternize,1
free,13
freeze,6
frequent,2
fret,1
frighten,11
frown,2
frustrate,4
fry,2
fuck,4
fuel,1
fulfill,11
fulminate,1
function,10
furnish,29
furnishe,5
further,8
fuse,2
fuss,2
gain,24
gallop,1
gamble,1
game,1
gang,2
garage,1
garden,1
garner,1
gas,1
gasp,1
gather,20
gay-ess,1
gaze,6
generalize,5
generate,12
gentle,1
germinate,2
gesture,1
get,806
gild,1
gird,1
git,4
give,501
givet,2
glamorize,1
glance,10
glare,1
glaze,2
gleam,1
glean,1
glide,3
glimpse,1
glisten,2
gloat,1
glorie,1
glorifie,1
glorify,1
glow,2
glue,1
gnaw,1
go,613
gobble,1
goddamn,2
goe,89
gouge,1
govern,9
grab,12
graduate,6
grant,13
grapple,1
grasp,10
gratify,1
graunt,1
graze,1
greet,7
grill,1
grimace,2
grin,1
grind,3
grip,1
grok,5
grope,1
ground,1
group,4
grovel,1
grow,83
grumble,5
grunt,1
guarantee,6
guard,8
guess,53
guide,21
gun,1
guy,1
guzzle,1
hail,2
halt,7
hammer,1
hamper,3
hand,8
handle,40
hang,30
happen,103
harass,1
harbor,4
harden,1
harm,1
harry,1
harvest,2
hasten,3
hatch,1
hate,36
haul,4
haunt,3
hawk,1
hazard,1
haze,1
head,15
heal,2
hear,160
heare,2
heares,1
heat,5
heave,2
heed,7
heighten,1
help,238
herd,2
hesitate,11
hibachi,1
hibernate,2
hide,19
hike,1
hinder,1
hinge,1
hint,3
hire,16
hit,44
hobble,1
hoist,1
hold,182
hole,1
home,1
homogenize,1
honeymoon,1
honor,14
hook,1
hoot,1
hop,1
hope,86
house,12
