low
alight,alighted,1
geld,gelded,1
hew,hewed,1
abound,abounded,1
abstain,abstained,1
accede,acceded,1
accentuate,accentuated,1
ache,ached,1
actuate,actuated,1
adduce,adduced,1
adjudicate,adjudicated,1
adorn,adorned,1
adventure,adventured,1
aerate,aerated,1
affix,affixed,1
aggravate,aggravated,1
agitate,agitated,1
alight,alighted,1
allay,allayed,1
allege,alleged,1
allot,allotted,1
alternate,alternated,1
amplify,amplified,1
angle,angled,1
annex,annexed,1
annihilate,annihilated,1
antagonize,antagonized,1
apologize,apologized,1
apportion,apportioned,1
apprehend,apprehended,1
appropriate,appropriated,1
arch,arched,1
arm,armed,1
arrogate,arrogated,1
ascend,ascended,1
ascribe,ascribed,1
astound,astounded,1
atone,atoned,1
audition,auditioned,1
authenticate,authenticated,1
automate,automated,1
autopsy,autopsied,1
avert,averted,1
awake,awoke,1
baffle,baffled,1
bag,bagged,1
ban,banned,1
bare,bared,1
bark,barked,1
barrel,barreled,1
barricade,barricaded,1
beautify,beautified,1
beckon,beckoned,1
beget,begot,1
beguile,beguiled,1
bemoan,bemoaned,1
bench,benched,1
beseech,besought,1
besiege,besieged,1
besmirch,besmirched,1
bespeak,bespoke,1
bewail,bewailed,1
bide,bode,1
birdie,birdied,1
black,blacked,1
blanket,blanketed,1
blazon,blazoned,1
blind,blinded,1
blister,blistered,1
blot,blotted,1
bludgeon,bludgeoned,1
blur,blurred,1
blush,blushed,1
boo,booed,1
boycott,boycotted,1
brace,braced,1
brag,bragged,1
bribe,bribed,1
bristle,bristled,1
broach,broached,1
broil,broiled,1
bruise,bruised,1
buffet,buffeted,1
bulldoze,bulldozed,1
bully,bullied,1
bum,bummed,1
bundle,bundled,1
bunt,bunted,1
burden,burdened,1
burrow,burrowed,1
bust,busted,1
busy,busied,1
buzz,buzzed,1
camouflage,camouflaged,1
camp,camped,1
canoe,canoed,1
canvass,canvassed,1
caress,caressed,1
cart,carted,1
cascade,cascaded,1
catechize,catechized,1
categorize,categorized,1
cauterize,cauterized,1
caution,cautioned,1
cavort,cavorted,1
cement,cemented,1
chafe,chafed,1
chalk,chalked,1
champion,championed,1
chance,chanced,1
chandelle,chandelled,1
channel,channeled,1
chant,chanted,1
char,charred,1
chart,charted,1
chatter,chattered,1
cheat,cheated,1
chop,chopped,1
cipher,ciphered,1
clamor,clamored,1
class,classed,1
clatter,clattered,1
clench,clenched,1
climax,climaxed,1
clobber,clobbered,1
clot,clotted,1
clothe,clothed,1
clutch,clutched,1
coalesce,coalesced,1
coat,coated,1
